Week,Game,Winner,Points,User,Picked_Team,Status,Points_Earned
1,TEN @ DEN,DEN,1,paul,DEN,Correct,1
1,SF @ SEA,SF,1,paul,SF,Correct,1
1,DET @ GB,GB,1,paul,GB,Correct,1
1,HOU @ LA,LA,1,paul,LA,Correct,1
1,BAL @ BUF,BUF,1,paul,BUF,Correct,1
1,MIN @ CHI,MIN,2,paul,MIN,Correct,2
1,DAL @ PHI,PHI,2,stephen,PHI,Correct,2
1,KC @ LAC,LAC,2,stephen,KC,Incorrect,0
1,TB @ ATL,TB,1,stephen,TB,Correct,1
1,CIN @ CLE,CIN,1,stephen,CIN,Correct,1
1,MIA @ IND,IND,1,stephen,MIA,Incorrect,0
1,LV @ NE,LV,1,stephen,NE,Incorrect,0
1,ARI @ NO,ARI,1,stephen,ARI,Correct,1
1,NYG @ WAS,WAS,1,stephen,WAS,Correct,1
1,PIT @ NYJ,PIT,1,stephen,PIT,Correct,1
1,CAR @ JAC,JAC,1,stephen,JAC,Correct,1
1,TEN @ DEN,DEN,1,stephen,DEN,Correct,1
1,SF @ SEA,SF,1,stephen,SF,Correct,1
1,DET @ GB,GB,1,stephen,GB,Correct,1
1,HOU @ LA,LA,1,stephen,LA,Correct,1
1,BAL @ BUF,BUF,1,stephen,BUF,Correct,1
1,MIN @ CHI,MIN,2,stephen,CHI,Incorrect,0
1,DAL @ PHI,PHI,2,susan,DAL,Incorrect,0
1,KC @ LAC,LAC,2,susan,KC,Incorrect,0
1,TB @ ATL,TB,1,susan,TB,Correct,1
1,CIN @ CLE,CIN,1,susan,CIN,Correct,1
1,MIA @ IND,IND,1,susan,MIA,Incorrect,0
1,LV @ NE,LV,1,susan,NE,Incorrect,0
1,ARI @ NO,ARI,1,susan,NO,Incorrect,0
1,NYG @ WAS,WAS,1,susan,NYG,Incorrect,0
1,PIT @ NYJ,PIT,1,susan,PIT,Correct,1
1,CAR @ JAC,JAC,1,susan,JAC,Correct,1
1,TEN @ DEN,DEN,1,susan,TEN,Incorrect,0
1,SF @ SEA,SF,1,susan,SF,Correct,1
1,DET @ GB,GB,1,susan,DET,Incorrect,0
1,HOU @ LA,LA,1,susan,HOU,Incorrect,0
1,BAL @ BUF,BUF,1,susan,BUF,Correct,1
1,MIN @ CHI,MIN,2,susan,CHI,Incorrect,0
